Year,Legislature corrupt activities,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High)
1975,3.10088888888889,2.86211111111111,3.35833333333333
1976,3.10088888888889,2.86211111111111,3.35833333333333
1977,3.10088888888889,2.86211111111111,3.35833333333333
1978,3.10088888888889,2.86211111111111,3.35833333333333
1979,3.10088888888889,2.86211111111111,3.35833333333333
1980,3.10088888888889,2.86211111111111,3.35833333333333
1981,3.10088888888889,2.86211111111111,3.35833333333333
1982,3.10088888888889,2.86211111111111,3.35833333333333
1983,3.10088888888889,2.86211111111111,3.35833333333333
1984,3.10088888888889,2.86211111111111,3.35833333333333
1985,3.10088888888889,2.86211111111111,3.35833333333333
1986,3.10088888888889,2.86211111111111,3.35833333333333
1987,3.10088888888889,2.86211111111111,3.35833333333333
1988,3.10088888888889,2.86211111111111,3.35833333333333
1989,3.10088888888889,2.86211111111111,3.35833333333333
1990,3.10088888888889,2.86211111111111,3.35833333333333
1991,3.10088888888889,2.86211111111111,3.35833333333333
1992,3.15011111111111,2.91144444444444,3.40033333333333
1993,3.15011111111111,2.91144444444444,3.40033333333333
1994,3.15011111111111,2.91144444444444,3.40033333333333
1995,3.15011111111111,2.91144444444444,3.40033333333333
1996,3.15011111111111,2.91144444444444,3.40033333333333
1997,3.17866666666667,2.94466666666667,3.42144444444444
1998,3.17866666666667,2.94466666666667,3.42144444444444
1999,3.17866666666667,2.94466666666667,3.42144444444444
2000,3.17866666666667,2.94466666666667,3.42144444444444
2001,3.15466666666667,2.93166666666667,3.38788888888889
2002,3.15466666666667,2.93166666666667,3.38788888888889
2003,3.15466666666667,2.93166666666667,3.38788888888889
2004,3.15466666666667,2.93166666666667,3.38788888888889
2005,3.15466666666667,2.93166666666667,3.38788888888889
2006,3.15466666666667,2.93166666666667,3.38788888888889
2007,3.15466666666667,2.93166666666667,3.38788888888889
2008,3.15466666666667,2.93166666666667,3.38788888888889
2009,3.16255555555556,2.93833333333333,3.39488888888889
2010,3.16255555555556,2.93833333333333,3.39488888888889
2011,3.16255555555556,2.93833333333333,3.39488888888889
2012,3.17077777777778,2.94755555555556,3.40766666666667
2013,3.20355555555556,2.96066666666667,3.44711111111111
2014,3.20355555555556,2.96066666666667,3.44711111111111
2015,3.20355555555556,2.96066666666667,3.44711111111111
2016,3.20355555555556,2.96066666666667,3.44711111111111
2017,3.21688888888889,2.973,3.46422222222222
2018,3.21688888888889,2.973,3.46422222222222
2019,3.21533333333333,2.96255555555556,3.47277777777778
2020,3.23666666666667,2.97188888888889,3.49644444444444
